id;chronology;titlefr;titleen;period;nbverses
1;5;Prologue;The Opening;0;7
2;87;La vache;The Cow;1;286
3;89;La famille d'Imran;The Family of Imran;1;200
4;92;Les femmes;The Women;1;176
5;112;La table servie;The Table;1;120
6;55;Les bestiaux;The Cattle;0;165
7;39;Les murailles;The Heights;0;206
8;88;Le butin;The Spoils of War;1;75
9;113;Le repentir;Repentance;1;129
10;51;Jonas;Jonah;0;109
11;52;Hud;Hud;0;123
12;53;Joseph;Joseph;0;111
13;96;Le tonnerre;The Thunder;1;43
14;72;Abraham;Abraham;0;52
15;54;Al-Hijr;The Stoneland;0;99
16;70;Les abeilles;The Bees;0;128
17;50;Le voyage nocturne;The Night Journey;0;111
18;69;La caverne;The Cave;0;110
19;44;Marie;Mary;0;98
20;45;Ta-Ha;Ta-Ha;0;135
21;73;Les prophètes;The Prophets;0;112
22;103;Le pèlerinage;The Pilgrimage;1;78
23;74;Les croyants;The Believers;0;118
24;102;La lumière;The Light;1;64
25;42;Le discernement;The Standard;0;77
26;47;Les poètes;The Poets;0;227
27;48;Les fourmis;The Ants;0;93
28;49;Le récit;The Story;0;88
29;85;L'araignée;The Spider;0;69
30;84;Les Romains;Rome;0;60
31;57;Luqmân;Luqman;0;34
32;75;La prosternation;The Prostration;0;30
33;90;Les coalisés;Confederates;1;73
34;58;Saba;Sheba;0;54
35;43;Le Créateur;The Originator;0;45
36;41;Ya-Sin;Ya-Sin;0;83
37;56;Les rangés;Drawn Up In Ranks;0;182
38;38;Sad;Sad;0;88
39;59;Les groupes;The Crowds;0;75
40;60;Le pardonneur;The Forgiver;0;85
41;61;Les versets détaillés;Explained In Detail;0;54
42;62;La consultation;The Consultation;0;53
43;63;L'ornement;The Ornaments;0;89
44;64;La fumée;The Smoke;0;59
45;65;L'agenouillée;The Kneeling Down;0;37
46;66;Al-Ahqâf;The Dunes;0;35
47;95;Muhammad;Muhammad;1;38
48;111;La victoire éclatante;The Victory;1;29
49;106;Les appartements;The Private Apartments;1;18
50;34;Qaf;Qaf;0;45
51;67;Qui éparpillent;The Wind That Scatter;0;60
52;76;At-tur;The Mount;0;49
53;23;L'étoile;The Star;0;62
54;37;La lune;The Moon;0;55
55;97;Le Tout Miséricordieux;The Most Merciful;1;78
56;46;L'évènement;The Event;0;96
57;94;Le fer;Iron;1;29
58;105;La discussion;The Pleading;1;22
59;101;L'Exode;The Exile;1;24
60;91;L'éprouvée;The Examined One;1;13
61;109;Le rang;The Ranks;1;14
62;110;Le vendredi;Friday;1;11
63;104;Les hypocrites;The Hypocrites;1;11
64;108;La grande perte;The Cheating;1;18
65;99;Le divorce;Divorce;1;12
66;107;L'interdiction;The Prohibition;1;12
67;77;La royauté;The Dominion;0;30
68;2;La plume;The Pen;0;52
69;78;Celle qui montre la vérité;The Sure Reality;0;52
70;79;Les voies d'ascension;The Ways of Ascent;0;44
71;71;Noé;Noah;0;28
72;40;Les djinns;The Jinn;0;28
73;3;L'enveloppé;The Enfolded One;0;20
74;4;Le revêtu d'un manteau;The Cloaked One;0;56
75;31;La résurrection;Resurrection;0;40
76;98;L'homme;Man;1;31
77;33;Les envoyés;Those Sent Forth;0;50
78;80;La nouvelle;The Announcement;0;40
79;81;Les anges qui arrachent les âmes;Those Who Tear Out;0;46
80;24;Il s'est renfrogné;He Frowned;0;42
81;7;L'obscurcissement;Shrouding in Darkness;0;29
82;82;La rupture;The Rending Asunder;0;19
83;86;Les fraudeurs;The Cheats;0;36
84;83;La déchirure;The Rending Asunder;0;25
85;27;Les constellations;The Constellations;0;22
86;36;L'astre nocturne;The Nightcomer;0;17
87;8;Le Très-Haut;The Most High;0;19
88;68;L'enveloppante;The Overwhelming Event;0;26
89;10;L'aube;The Dawn;0;30
90;35;La cité;The City;0;20
91;26;Le soleil;The Sun;0;15
92;9;La nuit;The Night;0;21
93;11;Le jour montant;The Forenoon;0;11
94;12;L'ouverture;The Opening-Up of the Heart;0;8
95;28;Le figuier;The Fig Tree;0;8
96;1;L'adhérence;The Clinging Clot;0;19
97;25;La destinée;Destiny;0;5
98;100;La preuve;The Clear Evidence;1;8
99;93;La secousse;The Earthquake;1;8
100;14;Les coursiers;The War Horse;0;11
101;30;Le fracas;The Striking Hour;0;11
102;16;La course aux richesses;The Piling Up;0;8
103;13;Le temps;The Time;0;3
104;32;Les calomniateurs;The Slanderer;0;9
105;19;L'éléphant;The Elephant;0;5
106;29;Coraïsh;The Quraysh;0;4
107;17;L'ustensile;Assistance;0;7
108;15;L'abondance;Abundance;0;3
109;18;Les infidèles;The Disbelievers;0;6
110;114;Les secours;The Help;1;3
111;6;Les fibres;The Twisted Strands;0;5
112;22;Le monothéisme pur;The Fidelity;0;4
113;20;L'aube naissante;The Rising Dawn;0;5
114;21;Les hommes;Men;0;6
